2021-01-29 18:11:01.147 WARN  [main] org.mybatis.spring.mapper.ClassPathMapperScanner - Skipping MapperFactoryBean with name 'xjAdminLogMapper' and 'com.ws.ldy.modules.sys.xj.mapper.XjAdminLogMapper' mapperInterface. Bean already defined with the same name!
2021-01-29 18:11:01.147 WARN  [main] org.mybatis.spring.mapper.ClassPathMapperScanner - Skipping MapperFactoryBean with name 'xjAdminMsgMapper' and 'com.ws.ldy.modules.sys.xj.mapper.XjAdminMsgMapper' mapperInterface. Bean already defined with the same name!
2021-01-29 18:11:01.147 WARN  [main] org.mybatis.spring.mapper.ClassPathMapperScanner - No MyBatis mapper was found in '[com.ws.ldy.modules.*.*.mapper]' package. Please check your configuration.
2021-01-29 18:11:01.676 INFO  [main] o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'spring.datasource.dynamic-com.baomidou.dynamic.datasource.spring.boot.autoconfigure.DynamicDataSourceProperties' of type [com.baomidou.dynamic.datasource.spring.boot.autoconfigure.DynamicDataSourceProperties] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2021-01-29 18:11:01.778 INFO  [main] o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'com.baomidou.dynamic.datasource.spring.boot.autoconfigure.DynamicDataSourceAutoConfiguration' of type [com.baomidou.dynamic.datasource.spring.boot.autoconfigure.DynamicDataSourceAutoConfiguration$$EnhancerBySpringCGLIB$$9d33792e] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2021-01-29 18:11:01.790 INFO  [main] o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'dsProcessor' of type [com.baomidou.dynamic.datasource.processor.DsHeaderProcessor] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2021-01-29 18:11:01.798 INFO  [main] o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'dynamicDatasourceAnnotationAdvisor' of type [com.baomidou.dynamic.datasource.aop.DynamicDataSourceAnnotationAdvisor] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2021-01-29 18:11:01.815 INFO  [main] o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2021-01-29 18:11:02.531 INFO  [main] o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 9048 (http)
2021-01-29 18:11:02.553 INFO  [main] org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-9048"]
2021-01-29 18:11:02.553 INFO  [main] org.apache.catalina.core.StandardService - Starting service [Tomcat]
2021-01-29 18:11:02.553 INFO  [main] org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.27]
2021-01-29 18:11:02.907 INFO  [main] o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2021-01-29 18:11:02.907 INFO  [main] org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 4818 ms
2021-01-29 18:11:03.038 INFO  [main] o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Set web app root system property: 'webapp.root' = [C:\Users\Administrator\AppData\Local\Temp\tomcat-docbase.2593373771985059300.9048\]
2021-01-29 18:11:03.233 INFO  [main] c.b.dynamic.datasource.DynamicDataSourceCreator - 动态数据源-检测到druid存在,如配置中未指定type,druid会默认配置
2021-01-29 18:11:03.403 INFO  [main] com.alibaba.druid.pool.DruidDataSource - {dataSource-1,db1} inited
2021-01-29 18:11:03.406 INFO  [Druid-ConnectionPool-Create-1925489578] com.alibaba.druid.pool.DruidAbstractDataSource - {dataSource-1} failContinuous is true
